region,totalHousing,tenantHousing,ownershipRate
AG,302765,149971,46.6 
AI,6666,2617,58.0 
AR,24263,12085,46.4 
BE,481061,267932,38.3 
BL,130256,66253,44.3 
BS,97524,72378,15.4 
FR,136459,72674,41.3 
GE,199994,148838,18.0 
GL,18245,8614,48.0 
GR,93642,46950,44.3 
JU,32813,14582,49.3 
LU,182067,109178,34.0 
NE,82014,53727,30.6 
NW,19401,11091,38.8 
OW,16402,7631,47.7 
SG,226234,126856,40.0 
SH,38258,21719,38.1 
SO,124732,59834,48.2 
SZ,70613,38180,41.0 
TG,123854,63791,45.0 
TI,164885,88717,39.2 
UR,15741,7395,44.4 
VD,360277,235177,29.9 
VS,155685,63572,54.3 
ZG,55599,35474,32.1 
ZH,701225,447314,27.4 
CH,3860675,2232548,36.2 