region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,0.0793,0.1089,0.006,0.0071,0.105,0.0481,0.067,0.0295,0.34,0.0625,0.072,0.0372,0.12,0.1183,0.082,0.111,0.083,0.0487,0.128,0.1182,0.123,0.0768,0.064
AI,0.0019,0.0028,0.027,NaN,NaN,NaN,NaN,NaN,NaN,0.0009,0.613,NaN,NaN,0.0017,0.679,NaN,NaN,0.0013,0.862,NaN,NaN,0.0009,0.61
AR,0.0066,0.0095,0.016,0.0004,0.454,0.002,0.319,0.0045,0.87,0.0042,0.284,0.0016,0.582,0.0084,0.302,0.0028,0.517,0.003,0.515,0.0057,0.558,0.0051,0.255
BE,0.1231,0.163,0.005,0.0593,0.034,0.0471,0.065,0.0328,0.31,0.079,0.061,0.0573,0.095,0.0761,0.095,0.0952,0.084,0.075,0.098,0.0863,0.136,0.1049,0.053
BL,0.0345,0.0474,0.009,0.0054,0.119,0.0207,0.1,0.013,0.5,0.0338,0.098,0.0097,0.234,0.0306,0.163,0.0273,0.174,0.0255,0.178,0.0786,0.153,0.0355,0.095
BS,0.0233,0.0285,0.015,0.0052,0.123,0.0179,0.111,0.0045,0.87,0.0406,0.091,0.0129,0.21,0.0278,0.17,0.0224,0.189,0.033,0.161,0.0855,0.147,0.0365,0.094
FR,0.0363,0.0156,0.036,0.1087,0.015,0.0107,0.14,NaN,NaN,0.0229,0.119,0.0795,0.079,0.0112,0.262,0.0337,0.146,0.0307,0.158,0.014,0.356,0.0235,0.115
GE,0.054,0.0038,0.061,0.1907,0.007,0.0432,0.05,0.007,0.51,0.1097,0.039,0.1487,0.042,0.0209,0.141,0.0413,0.099,0.1775,0.048,0.0319,0.173,0.079,0.046
GL,0.0048,0.0066,0.024,0.0002,0.686,0.0033,0.252,NaN,NaN,0.0029,0.341,0.0032,0.409,0.005,0.403,0.0088,0.301,0.0023,0.62,0.007,0.503,0.0044,0.274
GR,0.0241,0.0284,0.016,0.0011,0.266,0.0373,0.071,0.6874,0.06,0.0134,0.159,0.0309,0.13,0.0176,0.204,0.0101,0.272,0.0106,0.281,0.0071,0.488,0.0139,0.151
JU,0.0087,0.001,0.16,0.0341,0.016,0.0029,0.277,NaN,NaN,0.0029,0.335,0.0067,0.286,0.0032,0.506,0.0049,0.407,0.0077,0.326,0.0032,0.737,0.0032,0.323
LU,0.0479,0.0674,0.005,0.0033,0.113,0.0184,0.08,0.0222,0.28,0.0308,0.077,0.028,0.102,0.0652,0.08,0.0589,0.082,0.0258,0.129,0.0229,0.206,0.0417,0.065
NE,0.0211,0.0019,0.083,0.0807,0.008,0.0152,0.081,0.0028,0.78,0.0136,0.108,0.0499,0.069,0.0106,0.192,0.0104,0.19,0.0258,0.122,0.0176,0.219,0.0188,0.091
NW,0.0052,0.0075,0.018,0.0003,0.498,0.002,0.324,0.0049,0.8,0.0044,0.268,0.0024,0.468,0.0022,0.581,0.0026,0.518,0.0021,0.611,NaN,NaN,0.003,0.329
OW,0.0045,0.0064,0.02,0.0002,0.555,0.0012,0.418,NaN,NaN,0.003,0.322,0.0034,0.384,0.0033,0.466,0.0032,0.467,NaN,NaN,0.0022,0.864,0.0031,0.313
SG,0.0599,0.0834,0.006,0.0032,0.156,0.025,0.091,0.0299,0.34,0.0333,0.098,0.0236,0.146,0.1115,0.084,0.0959,0.09,0.0382,0.142,0.0582,0.176,0.0544,0.076
SH,0.0098,0.0135,0.016,0.0008,0.313,0.0047,0.214,NaN,NaN,0.0073,0.215,0.0021,0.518,0.0177,0.206,0.0125,0.241,0.0085,0.307,0.0073,0.501,0.0103,0.178
SO,0.0326,0.0455,0.008,0.0041,0.138,0.0185,0.109,0.0097,0.58,0.0206,0.129,0.0075,0.272,0.0374,0.151,0.0427,0.142,0.0167,0.223,0.0678,0.171,0.0297,0.107
SZ,0.0187,0.0264,0.01,0.0018,0.213,0.0065,0.184,0.0099,0.58,0.0213,0.123,0.0073,0.273,0.0194,0.201,0.0186,0.202,0.0069,0.337,0.0069,0.518,0.0173,0.141
TG,0.0324,0.0456,0.006,0.0018,0.148,0.0166,0.079,0.0155,0.32,0.0189,0.092,0.0172,0.123,0.0287,0.118,0.0458,0.091,0.0161,0.156,0.0408,0.15,0.0249,0.08
TI,0.0432,0.0072,0.041,0.0095,0.062,0.4511,0.005,0.0063,0.51,0.0277,0.076,0.0349,0.084,0.0519,0.083,0.0151,0.149,0.0407,0.097,0.016,0.223,0.0281,0.074
UR,0.0043,0.0063,0.018,0.0001,0.789,0.0015,0.392,NaN,NaN,0.002,0.426,0.0031,0.443,0.0035,0.509,0.0019,0.613,NaN,NaN,0.0031,0.732,0.0013,0.498
VD,0.0918,0.0087,0.038,0.3339,0.004,0.0571,0.041,0.0111,0.39,0.1377,0.033,0.2097,0.033,0.0642,0.077,0.072,0.071,0.1625,0.048,0.0455,0.138,0.0996,0.039
VS,0.0405,0.0165,0.035,0.1198,0.015,0.02,0.102,0.0051,0.79,0.022,0.123,0.0936,0.072,0.0228,0.187,0.0279,0.168,0.0281,0.167,0.0093,0.458,0.0232,0.117
ZG,0.0148,0.0192,0.011,0.002,0.139,0.0073,0.121,0.0044,0.6,0.0273,0.075,0.0078,0.179,0.0251,0.121,0.0101,0.19,0.0119,0.181,0.0153,0.242,0.0204,0.085
ZH,0.1768,0.2288,0.004,0.026,0.049,0.1217,0.038,0.0886,0.18,0.2572,0.032,0.121,0.061,0.2155,0.055,0.2247,0.056,0.2003,0.056,0.2483,0.08,0.2405,0.032
CH,6981381.0,4435541.0,0.002,1600281.0,0.004,593285.0,0.01,36943.0,0.05,396281.0,0.016,262172.0,0.019,174279.0,0.025,192201.0,0.026,168454.0,0.024,78869.0,0.04,424074.0,0.016
